description," Ergosta-5,7-dienol"," Ergosta-7,22-dienol",10-Formyl folic acid (10HCOFA),25-hydroxycholecalciferol,5-Formyltetrahydrofolic acid (5-HCOH4,5-methyl tetrahydrofolate (5-MTHF),Alanine,Arginine,Ash,Aspartic acid,Beta-glucan,Beta-sitostanol,Beta-sitosterol,Betaine,Biotin,"Boron, B",Brassicasterol,"Calcium, Ca",Campestanol,Campesterol,"Carbohydrate, by difference","Carbohydrate, by summation","Carotene, alpha","Carotene, beta","Carotene, gamma",Cholesterol,"Choline, free","Choline, from glycerophosphocholine","Choline, from phosphocholine","Choline, from phosphotidyl choline","Choline, from sphingomyelin","Choline, total",Citric acid,"Cobalt, Co","Copper, Cu","Cryptoxanthin, alpha","Cryptoxanthin, beta",Cysteine,Cystine,Daidzein,Daidzin,Delta-5-avenasterol,Delta-7-Stigmastenol,Energy,Energy (Atwater General Factors),Energy (Atwater Specific Factors),Ergosta-7-enol,Ergosterol,Ergothioneine,"Fatty acids, total monounsaturated","Fatty acids, total polyunsaturated","Fatty acids, total saturated","Fatty acids, total trans","Fatty acids, total trans-dienoic","Fatty acids, total trans-monoenoic","Fatty acids, total trans-polyenoic","Fiber, insoluble","Fiber, soluble","Fiber, total dietary","Folate, total",Fructose,Galactose,Genistein,Genistin,Glucose,Glutamic acid,Glutathione,Glycine,Glycitin,High Molecular Weight Dietary Fiber (HMWDF),Histidine,Hydroxyproline,"Iodine, I","Iron, Fe",Isoleucine,Lactose,Leucine,Low Molecular Weight Dietary Fiber (LMWDF),Lutein,Lutein + zeaxanthin,Lycopene,Lysine,MUFA 12:1,MUFA 14:1 c,MUFA 15:1,MUFA 16:1 c,MUFA 17:1,MUFA 17:1 c,MUFA 18:1,MUFA 18:1 c,MUFA 20:1,MUFA 20:1 c,MUFA 22:1,MUFA 22:1 c,MUFA 22:1 n-11,MUFA 22:1 n-9,MUFA 24:1 c,"Magnesium, Mg",Malic acid,Maltose,"Manganese, Mn",Methionine,"Molybdenum, Mo",Niacin,"Nickel, Ni",Nitrogen,Oxalic acid,PUFA 18:2,PUFA 18:2 CLAs,PUFA 18:2 c,"PUFA 18:2 n-6 c,c",PUFA 18:3,PUFA 18:3 c,"PUFA 18:3 n-3 c,c,c (ALA)","PUFA 18:3 n-6 c,c,c",PUFA 18:3i,PUFA 18:4,PUFA 20:2 c,"PUFA 20:2 n-6 c,c",PUFA 20:3,PUFA 20:3 c,PUFA 20:3 n-3,PUFA 20:3 n-6,PUFA 20:3 n-9,PUFA 20:4,PUFA 20:4c,PUFA 20:5 n-3 (EPA),PUFA 20:5c,PUFA 22:2,PUFA 22:3,PUFA 22:4,PUFA 22:5 c,PUFA 22:5 n-3 (DPA),PUFA 22:6 c,PUFA 22:6 n-3 (DHA),Pantothenic acid,Phenylalanine,"Phosphorus, P",Phytoene,Phytofluene,"Phytosterols, other","Potassium, K",Proline,Protein,Pyruvic acid,Quinic acid,Raffinose,Retinol,Riboflavin,SFA 10:0,SFA 11:0,SFA 12:0,SFA 14:0,SFA 15:0,SFA 16:0,SFA 17:0,SFA 18:0,SFA 20:0,SFA 21:0,SFA 22:0,SFA 23:0,SFA 24:0,SFA 4:0,SFA 5:0,SFA 6:0,SFA 7:0,SFA 8:0,SFA 9:0,"Selenium, Se",Serine,"Sodium, Na",Specific Gravity,Stachyose,Starch,Stigmastadiene,Stigmasterol,Sucrose,"Sugars, Total","Sulfur, S",TFA 14:1 t,TFA 16:1 t,TFA 18:1 t,TFA 18:2 t,TFA 18:2 t not further defined,TFA 18:3 t,TFA 20:1 t,TFA 22:1 t,Thiamin,Threonine,"Tocopherol, beta","Tocopherol, delta","Tocopherol, gamma","Tocotrienol, alpha","Tocotrienol, beta","Tocotrienol, delta","Tocotrienol, gamma",Total Sugars,Total dietary fiber (AOAC 2011.25),Total fat (NLEA),Total lipid (fat),Tryptophan,Tyrosine,Valine,Verbascose,"Vitamin A, RAE",Vitamin B-12,Vitamin B-6,"Vitamin C, total ascorbic acid",Vitamin D (D2 + D3),"Vitamin D (D2 + D3), International Units",Vitamin D2 (ergocalciferol),Vitamin D3 (cholecalciferol),Vitamin D4,Vitamin E (alpha-tocopherol),Vitamin K (Dihydrophylloquinone),Vitamin K (Menaquinone-4),Vitamin K (phylloquinone),Water,Zeaxanthin,"Zinc, Zn",cis-Lutein/Zeaxanthin,cis-Lycopene,cis-beta-Carotene,trans-Lycopene,trans-beta-Carotene
 Egg whites,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.47,,,,,,,,,,,,,,,,,,,,,,,,10.5,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,77.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.31,,,,,
" Egg whites, dried",,,,,,,,,,,,,,,,,,152.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,93.6,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.0,,,,948.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.44,,,,,
 Egg yolk,,,,,,,,,,,,,,,,,,112.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.81,,,,,,,,,,,,,,,,,,,,,,,,10.8,,,0.057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,431.0,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.85,,,,,
" Egg yolks, dried",,,,,,,,,,,,,,,,,,278.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.63,,,,,,,,,,,,,,,,,,,,,,,,25.6,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,995.0,,,,229.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.26,,,,,
 Whole eggs,,,,,,,,,,,,,,,,,,54.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.82,,,,,,,,,,,,,,,,,,,,,,,,10.4,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197.0,,,,116.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.28,,,,,
" Whole eggs, dried",,,,,,,,,,,,,,,,,,223.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.87,,,,,,,,,,,,,,,,,,,,,,,,46.4,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,793.0,,,,486.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,501.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.21,,,,,
"ALMOND MILK, UNSWEETENED, PLAIN, SHELF STABLE",,,,,,,,,0.22,,,,,,0.7,,,195.0,,,,,,,,,,,,,,,,,0.0172,,,,,,,,,,,,,,,0.84,0.35,0.12,0.0,,,,,,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,0.0,0.351,,0.0,,,,,,,0.0,0.0,0.0,0.005,0.001,,,0.642,,0.002,,,0.0,0.0,0.0,6.78,,0.0,0.0387,,0.0,0.06,,0.1,,,0.0,,0.249,,,0.001,0.0,,0.0,,0.0,,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,0.0,,,9.89,,,,65.6,,,,,0.009,0.0,0.0,0.0,0.0,0.0,0.002,0.001,0.067,0.001,0.015,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,,77.4,,0.0,,,,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.2001,0.0,0.0,0.0,0.0,,,,1.43,,,,0.0,,0.0,0.0,,,,0.5197,0.0,,2.9001,,,,97.365,,0.05,,,,,
"APPLE JUICE FROM CONCENTRATE WITH ADDED VITAMIN C, SHELF STABLE",,,,,,,,,0.12,,,,,,,,,4.83,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,3.73,5.53,0.0,,,3.02,,,,,,,,,0.0594,,0.0,,,,,,,,,,,,,,,,,,,,,,4.05,332.0,0.0,0.0283,,,0.01,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.53,,,,94.9,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,2.42,,,,,,1.6,,,,,,,,,,,0.0,,,,,,,,,,,,0.64,,,,,,,0.015,89.6,,,,,,,,,,87.73,,0.0,,,,,
"APPLES, FUJI",,,,,,,,,0.18,,,,,,,,,7.0,,,,,,,,,,,,,,,,,0.052,,,,,,,,,,,,,,,,,,,,,,,,2.1,0.0,8.93,,,,2.87,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,5.2,,0.0,0.034,,,0.12,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,101.0,,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,1.84,,,,,,,,,,,0.01,,,,,,,,,,,,0.1,,,,,,,0.045,,,,,,,,,,,82.0,,0.02,,,,,
"APPLES, FUJI, WITH SKIN, RAW",,,,,,,,,0.175,,,,,,,,,6.55,,,,,,,,,,,,,,,,,0.0524,,,,,,,,,,,,,,,,,,,,,,,,2.08,0.0,8.93,,,,2.87,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,5.24,,0.0,0.0344,,,0.12,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4,,,,101.0,,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,1.84,,,,,,,,,,,0.01,,,,,,,,,13.64,,,0.1,,,,,,,0.045,,,,,,,,,,,82.04,,0.0245,,,,,
