fdc_id,description,Energy,gram_weight,Biotin,"Boron, B","Calcium, Ca","Carbohydrate, Total",Cholesterol,"Choline, total","Cobalt, Co","Copper, Cu","Fatty acids, total monounsaturated","Fatty acids, total polyunsaturated","Fatty acids, total saturated","Fatty acids, total trans","Fiber, insoluble","Fiber, soluble","Fiber, total dietary","Folate, total","Iodine, I","Iron, Fe","Magnesium, Mg","Manganese, Mn","Molybdenum, Mo",Niacin,"Nickel, Ni",Pantothenic acid,"Phosphorus, P","Potassium, K",Protein,Riboflavin,"Selenium, Se","Sodium, Na",Starch,"Sugars, Total","Sulfur, S",Thiamin,Total lipid (fat),"Vitamin A, RAE",Vitamin B-12,Vitamin B-6,"Vitamin C, total ascorbic acid",Vitamin D (D2 + D3),Vitamin E,Vitamin K (Dihydrophylloquinone),Vitamin K (Menaquinone-4),Vitamin K (phylloquinone),"Zinc, Zn"
321358,"Hummus, commercial",243.0,33.9,0.0,0.0,41.0,13.9,0.0,46.6,0.0,0.348,6.37,7.48,2.22,0.018,0.0,0.0,5.4,36.0,0.0,2.41,71.1,1.06,0.0,0.948,0.0,0.318,166.0,289.0,7.35,0.115,16.2,438.0,8.12,0.34,0.0,0.15,17.1,1.0,0.0,0.143,0.0,0.0,1.74,0.0,0.0,17.2,1.38
321360,"Tomatoes, grape, raw",31.0,49.7,0.0,0.0,11.0,5.51,0.0,9.8,0.0,0.058,0.0,0.0,0.0,0.0,0.0,0.0,2.1,10.0,0.0,0.33,11.9,0.121,0.0,0.805,0.0,0.0,28.0,260.0,0.83,0.065,0.0,6.0,0.0,0.0,0.0,0.075,0.63,0.0,0.0,0.06,27.2,0.0,0.98,0.0,0.0,4.2,0.2
321611,"Beans, snap, green, canned, regular pack, drained solids",24.0,129.0,0.0,0.0,36.0,4.11,0.0,0.0,0.0,0.041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.78,12.7,0.176,0.0,0.0,0.0,0.0,23.0,97.0,1.04,0.0,0.0,282.0,0.0,1.29,0.0,0.0,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19
323121,"Frankfurter, beef, unheated",310.0,48.6,0.0,0.0,15.0,2.89,0.0,0.0,0.0,0.046,12.1,0.954,11.4,1.59,0.0,0.0,0.0,0.0,0.0,1.14,11.5,0.031,0.0,2.25,0.0,0.263,128.0,343.0,11.7,0.154,0.0,872.0,0.0,1.26,0.0,0.033,28.0,3.0,0.97,0.13,0.0,0.0,0.51,0.0,0.0,0.0,2.06
323294,"Nuts, almonds, dry roasted, with salt added",667.0,135.0,0.0,0.0,273.0,16.2,0.0,60.8,0.0,0.87,34.2,14.5,4.56,0.032,0.0,0.0,11.0,35.0,0.0,3.17,258.0,2.02,0.0,3.1,0.0,0.237,456.0,684.0,20.4,1.57,0.0,256.0,0.0,4.17,0.0,0.079,57.8,2.0,0.0,0.075,0.0,0.0,19.0,0.0,0.0,0.0,2.8
323505,"Kale, raw",43.0,20.6,0.0,0.0,254.0,4.42,0.0,0.0,0.0,0.053,0.0,0.0,0.0,0.0,0.0,0.0,4.1,62.0,0.0,1.6,32.7,0.92,0.0,1.18,0.0,0.37,55.0,348.0,2.92,0.347,0.0,53.0,0.0,0.8,0.0,0.113,1.49,241.0,0.0,0.147,93.4,0.0,0.66,0.0,0.0,390.0,0.39
323604,"Egg, whole, raw, frozen, pasteurized",146.0,28.4,0.0,0.0,55.0,0.91,420.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.6,1.77,11.2,0.0,0.0,0.0,0.0,0.0,189.0,117.0,12.3,0.0,0.0,121.0,0.0,0.0,0.0,0.0,10.3,0.0,0.0,0.0,0.0,2.3,0.0,0.0,0.0,0.0,1.2
323697,"Egg, white, raw, frozen, pasteurized",45.0,28.4,0.0,0.0,9.0,0.74,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,10.6,0.0,0.0,0.0,0.0,0.0,0.0,130.0,10.1,0.0,0.0,144.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02
323793,"Egg, white, dried",350.0,7.0,0.0,0.0,104.0,6.02,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,87.6,0.0,0.0,0.0,0.0,0.0,107.0,959.0,79.9,0.0,0.0,1250.0,0.0,0.0,0.0,0.0,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43
324317,"Onion rings, breaded, par fried, frozen, prepared, heated in oven",293.0,20.2,0.0,0.0,28.0,34.0,0.0,10.7,0.0,0.081,2.87,7.58,2.15,0.041,0.0,0.0,2.4,31.0,0.0,1.14,20.4,0.435,0.0,1.57,0.0,0.302,75.0,135.0,4.52,0.116,5.6,374.0,27.2,4.5,0.0,0.196,14.4,0.0,0.0,0.127,1.6,0.0,0.57,0.0,0.0,0.0,0.59
